ZIP,OFFENSE-DESC,OFFENSE-DESC
78224,Fraud,38
78224,Aggravated Assault,26
78224,Driving While Intoxicated,23
78224,Vandalism,19
78224,Theft of Vehicle,18
78224,Robbery Business,16
78224,Threats,14
78224,Protective Order Violation,11
78224,Aggravated Family Violence,9
78224,Injury to a Child,8
78224,Robbery Individual,7
78224,Aggravated Robbery Individual,6
78224,Injury to Elderly Person,6
78224,Sexual Assault,6
78224,Burglary Vehicle,5
78224,Deadly Conduct,5
78224,Aggravated Robbery Business,4
78224,Kidnapping,4
78224,Burglary Building,3
78224,Indecent Exposure,3
78224,Aggravated Sexual Assault,1
78224,Arson,1
78224,Burglary Habitation,1
78224,Indecency with a Child,1
78224,Intoxication Assault,1
78224,Prostitution,1
78225,Drug Arrest,264
78225,TABC-Liquor Law Violation,92
78225,Family Violence,80
78225,Obstruction of Justice,70
78225,Larceny,34
78225,Traffic Violation,28
78225,Weapon Violation,24
78225,Prostitution,20
78225,Driving While Intoxicated,16
78225,Fraud,16
78225,Assault,12
78225,Trespassing,12
78225,Threats,9
78225,Deadly Conduct,8
78225,Vandalism,8
78225,Injury to Elderly Person,7
78225,Aggravated Assault,6
78225,Panhandling,6
78225,Theft of Vehicle,6
78225,Injury to a Child,5
78225,Aggravated Family Violence,4
78225,Burglary Habitation,4
78225,Robbery Individual,4
78225,Burglary Building,3
78225,Burglary Vehicle,3
78225,Robbery Business,3
78225,Unauthorized Use of Motor Vehicle,3
78225,Aggravated Robbery Business,1
78225,Aggravated Robbery Individual,1
78225,Protective Order Violation,1
78226,Drug Arrest,122
78226,Family Violence,67
78226,TABC-Liquor Law Violation,54
78226,Obstruction of Justice,36
78226,Trespassing,22
78226,Weapon Violation,15
78226,Larceny,14
78226,Aggravated Assault,13
78226,Assault,10
78226,Aggravated Family Violence,7
78226,Traffic Violation,7
78226,Vandalism,6
78226,Deadly Conduct,4
78226,Fraud,4
78226,Threats,4
78226,Prostitution,3
78226,Protective Order Violation,3
78226,Theft of Vehicle,3
78226,Aggravated Robbery Business,2
78226,Burglary Vehicle,2
78226,Murder,2
78226,Robbery Individual,2
78226,Arson,1
78226,Burglary Building,1
